Pair	Ctcf_E	Dnase_E	H3k27ac_E	H3k27me3_E	H3k36me3_E	H3k4me1_E	H3k4me2_E	H3k4me3_E	H3k79me2_E	H3k9ac_E	H3k9me3_E	H4k20me1_E	RAD21_E	TBP_E	Ctcf_P	Dnase_P	H3k27ac_P	H3k27me3_P	H3k36me3_P	H3k4me1_P	H3k4me2_P	H3k4me3_P	H3k79me2_P	H3k9ac_P	H3k9me3_P	H4k20me1_P	RAD21_P	TBP_P	Ctcf_W	Dnase_W	H3k27ac_W	H3k27me3_W	H3k36me3_W	H3k4me1_W	H3k4me2_W	H3k4me3_W	H3k79me2_W	H3k9ac_W	H3k9me3_W	H4k20me1_W	RAD21_W	TBP_W	Distance	Count
chr17_0_5000-chr17_1000000_1005000	1.16313	2.54034	0.539709	2.71021	0.881052	0.714904	0.435131	0.780275	0.268445	1.57645	0.881736	2.15069	3.45443	0.01	1.44314	3.03645	1.46231	0.378992	5.64752	2.74729	1.14794	1.2979	3.55351	2.05329	0.736492	4.01496	1.4499	0.01	1.5111	2.48372	1.35662	1.43463	2.54155	1.45961	1.67937	1.62979	1.44978	1.74019	1.23084	2.03488	3.89581	0.0779921	995000	1.53011
chr17_0_5000-chr17_100000_105000	1.16313	2.54034	0.539709	2.71021	0.881052	0.714904	0.435131	0.780275	0.268445	1.57645	0.881736	2.15069	3.45443	0.01	0.618914	1.87208	0.470874	1.04477	0.640022	0.687743	0.14624	0.904402	0.335345	0.865206	0.586053	1.63145	1.45727	0.01	1.37128	3.75544	0.651692	2.38824	0.692442	1.59425	1.09203	0.943288	0.379065	1.18247	1.34221	2.12548	8.94201	0.114942	95000	3.63671
chr17_0_5000-chr17_10000_15000	1.16313	2.54034	0.539709	2.71021	0.881052	0.714904	0.435131	0.780275	0.268445	1.57645	0.881736	2.15069	3.45443	0.01	6.22236	9.03853	0.625529	2.41148	0.589309	3.76434	1.3964	0.704901	0.518792	2.0016	1.18888	2.56082	8.29351	0.01	0.865063	2.87524	0.379039	2.22835	0.68038	0.83982	0.418721	0.757967	0.228921	1.25034	1.15633	1.91867	3.39809	0.01	5000	5.36363
chr17_0_5000-chr17_1005000_1010000	1.16313	2.54034	0.539709	2.71021	0.881052	0.714904	0.435131	0.780275	0.268445	1.57645	0.881736	2.15069	3.45443	0.01	1.54603	3.08204	1.20091	0.486801	5.30551	1.93327	1.3307	0.642302	4.75431	1.52895	1.16225	4.10042	2.12744	0.01	1.51076	2.48648	1.35715	1.42935	2.55708	1.46605	1.67672	1.62813	1.4603	1.74175	1.22837	2.04478	3.88358	0.0776522	1e+06	1.169
chr17_0_5000-chr17_105000_110000	1.16313	2.54034	0.539709	2.71021	0.881052	0.714904	0.435131	0.780275	0.268445	1.57645	0.881736	2.15069	3.45443	0.01	0.819155	1.85471	0.376448	0.735031	0.181653	0.421446	0.383495	0.474711	0.0474991	0.584924	0.44587	1.71682	4.11655	0.01	1.33366	3.66127	0.642651	2.32107	0.689821	1.54892	1.04474	0.941344	0.376879	1.16661	1.3044	2.10078	8.56778	0.109695	100000	3.73965
chr17_0_5000-chr17_110000_115000	1.16313	2.54034	0.539709	2.71021	0.881052	0.714904	0.435131	0.780275	0.268445	1.57645	0.881736	2.15069	3.45443	0.01	1.22826	3.17509	0.336372	2.79069	0.636843	0.731629	0.631818	0.704936	0.262371	0.933458	1.06806	2.2937	2.57443	0.01	1.30916	3.57524	0.629975	2.24555	0.665622	1.49523	1.01326	0.919123	0.361194	1.13891	1.26352	2.0825	8.35581	0.104948	105000	3.68322
chr17_0_5000-chr17_120000_125000	1.16313	2.54034	0.539709	2.71021	0.881052	0.714904	0.435131	0.780275	0.268445	1.57645	0.881736	2.15069	3.45443	0.01	0.747426	1.60029	0.310605	1.27544	0.596284	0.610711	0.460363	0.784465	0.370777	0.78532	1.24401	1.95061	3.29279	0.580303	1.28596	3.55404	0.598843	2.28408	0.657824	1.40904	0.963367	0.886061	0.358769	1.11033	1.24227	2.11703	7.8586	0.0966912	115000	2.85361
chr17_0_5000-chr17_125000_130000	1.16313	2.54034	0.539709	2.71021	0.881052	0.714904	0.435131	0.780275	0.268445	1.57645	0.881736	2.15069	3.45443	0.01	0.814721	3.37704	0.453757	2.97762	0.908418	0.597879	0.300094	0.970203	0.370784	1.44622	1.68504	2.34406	3.64288	0.01	1.26352	3.47264	0.586833	2.24205	0.65526	1.37578	0.942408	0.881827	0.359269	1.09678	1.24234	2.11009	7.66836	0.116842	120000	4.11095
chr17_0_5000-chr17_130000_135000	1.16313	2.54034	0.539709	2.71021	0.881052	0.714904	0.435131	0.780275	0.268445	1.57645	0.881736	2.15069	3.45443	0.01	1.18256	4.76189	0.450879	2.02381	0.669305	0.932187	0.460422	0.901461	0.337348	0.944441	1.59706	2.88543	4.02944	0.01	1.24557	3.46881	0.58151	2.27148	0.665386	1.34466	0.916716	0.885362	0.35973	1.11076	1.26005	2.11945	7.50734	0.112568	125000	3.691
chr17_0_5000-chr17_135000_140000	1.16313	2.54034	0.539709	2.71021	0.881052	0.714904	0.435131	0.780275	0.268445	1.57645	0.881736	2.15069	3.45443	0.01	0.797581	2.64242	0.376457	1.14252	0.3701	0.964182	0.849042	0.364856	0.187197	0.621598	0.300557	1.37659	6.60946	0.01	1.24314	3.51855	0.576486	2.26195	0.665537	1.3288	0.899166	0.885982	0.358869	1.10437	1.27301	2.14891	7.37357	0.108623	130000	3.55455
chr17_0_5000-chr17_140000_145000	1.16313	2.54034	0.539709	2.71021	0.881052	0.714904	0.435131	0.780275	0.268445	1.57645	0.881736	2.15069	3.45443	0.01	0.808274	3.45775	0.588276	2.81526	0.842539	0.687823	0.61023	1.02133	0.231122	1.13372	0.591231	2.18327	4.25234	0.01	1.22664	3.4861	0.569077	2.22049	0.654595	1.31529	0.897309	0.866681	0.352511	1.08648	1.23699	2.12031	7.34527	0.10497	135000	4.08209
chr17_0_5000-chr17_145000_150000	1.16313	2.54034	0.539709	2.71021	0.881052	0.714904	0.435131	0.780275	0.268445	1.57645	0.881736	2.15069	3.45443	0.01	0.884437	2.4443	0.2419	1.61006	0.666402	0.554591	0.383495	0.350589	0.378918	0.70132	0.736572	1.79253	6.68235	0.01	1.2117	3.48509	0.569763	2.24173	0.661307	1.29288	0.887057	0.872204	0.348175	1.08817	1.21393	2.12256	7.23481	0.101579	140000	3.82161
